Companies,URL,Description,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Shape,shapecal.com,"Shape Inc is a distributor and manufacturer's representative specializing in water and wastewater equipment. The company offers a range of products including pumps, process water treatment and purification technologies, and user-friendly control systems for water treatment applications. Shape Inc primarily serves the municipal market with its water treatment and processing solutions. It was founded in 1979 and is based in Pleasanton, California.",Water,Waste Water Treatment,,,,United States,,H.I.G. Capital,,,,,-9.09%,Alive / Active,1979,,
Drydon Equipment,drydon.com,"Drydon Equipment is a distributor and manufacturers representative of pumps, valves, controls, and process equipment focused on serving the water and wastewater industry in the Central and Northern Illinois, Northwest Indiana, Wisconsin, and the Upper Peninsula of Michigan territories and markets.

On March 2nd, 2022, Drydon Equipment was acquired by DXP Enterprises. The terms of the transaction were not disclosed.",Water,Waste Water Treatment,,,,United States,,DXP Enterprises,,,,,11.11%,Acquired,1971,,
Premier Water,premier-water.com,"Premier Water is a manufacturer's representative organization that serves water and wastewater treatment industry professionals in both North and South Carolina.

On September 22nd, 2021, Premier Water was acquired by DXP Enterprises. Terms of the transaction were not disclosed.",Water,Waste Water Treatment,,,,United States,,DXP Enterprises,,,,,9.09%,Acquired,,,
Cornerstone H2O,cornerstoneh2o.com,"Cornerstone H2O is a manufacturer’s representative in the water treatment industry, focusing on providing treatment solutions for water and wastewater. The company offers a range of solutions to address water quality challenges, including green, solar-powered treatment options, and services for reservoirs and lagoons. Cornerstone H2O primarily serves the water treatment and wastewater treatment sectors. It was founded in 2016 and is based in Peachtree City, Georgia.",Water,Waste Water Treatment,,,,United States,,,,,,,0%,Alive / Active,2016,,
Tupperware Brands,tupperwarebrands.com,"Tupperware Brands is a global consumer products company focused on sustainable solutions for food storage, serving, and preparation. The company offers a range of reusable containers and kitchen products designed to reduce food and plastic waste, with a commitment to environmentally responsible design. Tupperware's products are distributed in nearly 80 countries through a network of independent representatives. Tupperware Brands was formerly known as Tupperware. It was founded in 1946 and is based in Orlando, Florida. In September 2024, Tupperware Brands filed for Bankruptcy.",Household,Housewares,,,,United States,,"Alden Global Capital, Bank of America, Stonehill Capital Management",,,,,0%,Assets Purchased,1946,,
Bert Gurney & Associates,bgagurney.com,"Bert Gurney & Associates is a manufacturers' representative of water and wastewater treatment equipment and systems, along with chemical feed systems for various applications. The company provides products including equipment for drinking water processes, pumping solutions, flow measurement instruments, and valves. These products are used in municipal and industrial sectors for water management and treatment. It was founded in 1955 and is based in Omaha, Nebraska. In November 2024, Bert Gurney & Associates was acquired by DXP Enterprises.",Water,Waste Water Treatment,,,,United States,,DXP Enterprises,,,,,0%,Acquired,1955,,
Empire Equipment Company,empire-equipment.com,"Empire Equipment Company distributes foodservice equipment and operates as a manufacturers' representative within the foodservice industry. The company offers equipment including ice machines, cooking and refrigeration equipment, water treatment systems, walk-ins, and microwaves. Empire Equipment provides OEM parts. It was founded in 1985 and is based in Goldsboro, North Carolina.",Manufacturing,Industrial Equipment & Component Manufacturing,,,,United States,,"Kian Capital, Riverarch Equity Partners",,,,,0%,Alive / Active,1985,,
Hartwell Environmental,hartwellenv.com,"Hartwell Environmental is a company focused on selling water and wastewater treatment equipment for municipal and industrial treatment facilities. It serves as a manufacturer's representative for pumps, controls, and process equipment, offering sales expertise and technical product solutions. The company primarily serves the municipal and industrial sectors that require water and wastewater treatment solutions. Hartwell Environmental was formerly known as Hartwell Engineering. It was founded in 1976 and is based in Tomball, Texas. In September 2024, Hartwell Environmental was acquired by DXP Enterprises.",Machinery & Equipment,,,,,United States,,DXP Enterprises,,,,,3.33%,Acquired,1976,,
The Blake Group,blakeequip.com,"The Blake Group supplies water and thermal energy solutions, equipment, products, and services to industry and the trades as a specialty distributor and manufacturer representative.

On December 31st, 2021, The Blake Group was acquired by Headwater Companies at a valuation of $27.1M.",Water,Water Distribution,,,,United States,,Headwater Companies,,,,,4.80%,Acquired,1927,,
U.S. Dairy,usdairy.com,"U.S. Dairy is involved in the education of the dairy industry, covering various aspects of dairy farming, nutrition, and sustainability. The organization provides resources such as nutrition research and the health benefits of dairy while addressing sustainability challenges within the industry. U.S. Dairy primarily serves the agriculture sector, focusing on dairy farming and related industries. It was founded in 1995 and is based in Des Plaines, Illinois.",Consulting & Outsourcing,"Market, Industry & Competitive Research",,,,United States,,,,,,,0%,Alive / Active,1995,,
Treatment Technologies,t2water.com,"Treatment Technologies is a manufacturers' representative in the water and wastewater treatment industry. The company represents products for water and wastewater treatment. It primarily serves the Florida Panhandle region. It is based in Dayton, Ohio.",Basic Materials,,,,,United States,,,,,,,0%,Alive / Active,,,
SF International Associates,sfinternationalassoc.com,"SF International Associates is a representative firm in the water management industry. The company offers products including aeration, belt presses, clarifiers, grit removal systems, odor control solutions, screens, and thickeners for water and wastewater treatment processes. These products are used in various sectors for water purification and wastewater management. It was founded in 1980 and is based in Richboro, Pennsylvania.",,,,,,United States,,,,,,,0%,Alive / Active,1980,,
Watermark,ewatermark.net,"Watermark is a manufacturer representative of water treatment equipment for the industrial sector. The company provides equipment packages that include chemical feed and filtration systems for applications like cooling towers, boilers, waste water, high purity, and potable water. Watermark serves the industrial water treatment needs of the Mid-Atlantic region. It was founded in 1992 and is based in Annapolis, Maryland.",Chips & Semiconductors,,,,,United States,,,,,,,0%,Alive / Active,1992,,
L. Associates,faimreps.com,"L. Associates, also known as FAIM Reps, LLC, is a wholesale distributor and manufacturers representative in the foodservice equipment sector. The company offers products including reverse osmosis and ultraviolet water treatment systems, as well as filtration cartridges, housings, and accessories for various manufacturers. FAIM Reps serves the commercial foodservice industry with water treatment and filtration products. It was founded in 1971 and is based in West Bloomfield, New York.",,,,,,United States,,,,,,,0%,Alive / Active,1971,,
Williams Pacific,williamspacificinc.com,"Williams Pacific is a manufacturer's representative that distributes architectural products and noise control solutions across various sectors. The company provides molded gypsum, concrete, and composite-based architectural products, along with noise control products for industrial and architectural applications. Williams Pacific serves the construction and design industries with sound masking systems, water repellents for masonry, and anti-graffiti treatments for concrete. It is based in Honolulu, Hawaii.",Construction,,,,,United States,,,,,,,0%,Alive / Active,,,
Burrus & Matthews,b-m.com,"Burrus & Matthews is an electrical manufacturer's representative specializing in the sales and distribution of electrical supplies across various sectors. The company offers a range of products and services tailored to commercial construction, renewable energy, oil and gas, water treatment, and data centers, focusing on meeting the specific needs and challenges of each sector. It was founded in 1952 and is based in Irving, Texas.",Appliances,,,,,United States,,,,,,,5.26%,Alive / Active,1952,,
Bio-Energy Holdings,bio-energyholdings.com,"Bio-Energy Holdings (BEH), a Wyoming incorporated company with corporate offices in Greentown, PA is a partnering program, specifically for Environmental Service Providers (""ESPs"")A.K.A. haulers and pumpers, to become part of a select family of BEH licensed representative independent service agents for the collection of Liquid Brown Trap Grease (LBTG) from restaurants. Most ESPs will already be servicing these restaurant grease traps; however BEH's program provides a new, unique opportunity for ESPs to be part of the BEH ""green"" process to turn LTBG into an energy saving B100 diesel enterprise. Instead of paying tipping fees to dump LBTG into landfills, or the cost to deliver it to waste treatment plants, the LTBG is collected and separated into B100 diesel feed stock, and the solid waste into combustible energy generation materials!",Remediation & Environmental Cleanup,,,,,United States,0.03,Ben Franklin Technology Partners of Northeastern Pennsylvania,0.03,Debt,3/25/2014,,0%,Alive / Active,,,
JPR Systems,jprsystems.com,"JPR Systems is a leading manufacturer’s representative and service provider in the domain of process measurement and control equipment. The company offers a range of services including instrument calibration, field start-up and commissioning, site audits, preventative maintenance, and onsite troubleshooting, as well as training for technicians. JPR Systems primarily serves industries such as food & beverage, water & wastewater, oil & gas, life sciences, chemical, and power & energy. It was founded in 1985 and is based in Brea, California.",Manufacturing,Industrial Equipment & Component Manufacturing,,,,United States,,,,,,,0%,Alive / Active,1985,,
EDAMA Association,edama.jo,"EDAMA Association focuses on sustainability and the development of the energy, water, and environmental sectors. The organization provides a platform for dialogue and collaboration among public, private, and NGO sector representatives to foster innovative solutions for energy and water independence and environmental conservation. EDAMA aims to empower businesses to lead in transforming Jordan's energy, water, waste, food, and transport systems into a green economy. It was founded in 2009 and is based in Amman, Jordan.",,,,,,Jordan,,,,,,,137.50%,Alive / Active,2009,,
James Smith Health Clinic,jamessmithhealthclinic.com,"James Smith Health Clinic is a provider of health care services. It offers community health representatives, a day care program, a dental program, facility management, a health nurse program, medical transportation, and water safety. It was founded in 1876 and is based in Kinistino, Canada.",Medical Facilities & Services,Specialized Healthcare Services,,,,Canada,,,,,,,0%,Alive / Active,1876,,
Blakeslee Equipment Co,blakeslee-equipment.com,"Blakeslee Equipment Company is a manufacturer representative firm that focuses on process and mechanical equipment sales within the chemical, food, steel, and utility industries. The company provides thermal process equipment, water treatment systems, and various process equipment solutions. Blakeslee Equipment Company serves sectors such as chemical processing, food manufacturing, steel production, and utility services. It was founded in 1958 and is based in North Olmsted, Ohio.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1958,,
Sentrol,nesentrol.com,"Sentrol is a manufacturer's representative and distributor of sensor and control instrumentation across various manufacturing markets. The company offers products including explosion protection systems, flow and level sensors, gas and liquid analyzers, and data acquisition and control systems, as well as services such as system startup, calibration, and automation. Sentrol serves sectors such as biopharm, pharmaceutical, microelectronics, aerospace, military, chemical, power generation, and water and wastewater management. It was founded in 2001 and is based in Plymouth, Massachusetts.",Machinery & Equipment,,,,,United States,,,,,,,9.09%,Alive / Active,2001,,
Mullarkey Associates Pool & Spa,mullarkeyassociates.com/pool-spa,"Mullarkey Associates Pool & Spa is a manufacturer's representative firm operating in the pool and spa industry. The company provides services including sales, customer service, and technical support for pool and spa products. They serve sectors that require water treatment solutions, including residential and commercial pools. It was founded in 1971 and is based in Tinley Park, Illinois.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1971,,
Dan Davis Sales,dandavissales.com,"Dan Davis Sales is a manufacturer representative in the plumbing, heating, and renewable energy sectors. The company provides products such as hydronic systems, gas and oil burner controls, water treatment solutions, and thermal expansion tanks. Dan Davis Sales serves wholesalers, contractors, and engineers in New England. It was founded in 1976 and is based in Lebanon, Maine.",,,,,,United States,,,,,,,6.67%,Alive / Active,1976,,
Matzke Sales,matzkesales.com,"Matzke Sales, Inc. is an independent manufacturers representative agency operating in the water systems, wastewater, irrigation, and plumbing sectors. The company provides sales representation and customer service support for manufacturers, focusing on the wholesale distribution supply chain. It is based in Auburn, Washington.",Wholesale,,,,,United States,,,,,,,-16.67%,Alive / Active,,,
Atlantic Valve & Equipment,atlantic-valve.com,"Atlantic Valve & Equipment specializes in the municipal and industrial water and wastewater markets. The company acts as a Manufacturer's Representative, offering sales support and customer service for valve solutions. It serves clients in Virginia, North Carolina, South Carolina, Maryland, Washington, D.C., and West Virginia. The company was founded in 2010 and is based in Richmond, Virginia. In April 2025, Atlantic Valve & Equipment was acquired by Tencarva Machinery Company.",Construction,Plumbing & HVAC,,,,United States,,Tencarva Machinery Company,,,,,0%,Acquired,2010,,
Municipal Valve & Equipment Co,municipalvalve.com,"Municipal Valve & Equipment Co is a manufacturers' representative firm focused on water and wastewater treatment technologies within the waterworks industry. The company provides products such as valves and actuators, designed for the treatment and control of water and wastewater. Municipal Valve & Equipment Co serves the waterworks industry across multiple states, offering products and service. It was founded in 1991 and is based in Addison, Texas.",Construction,,,,,United States,,,,,,,0%,Alive / Active,1991,,
The MAHER,themahercorp.com,"The MAHER Corporation is a manufacturer's representative in Water & Wastewater Treatment, Pumping, and Odor Control Systems. The company provides equipment and solutions for water and wastewater treatment processes, including pumping systems and odor control technologies. The MAHER Corporation serves the water and wastewater treatment industries. It was founded in 1970 and is based in Rockland, Massachusetts.",,,,,,United States,,,,,,,0%,Alive / Active,1970,,
Hot Water Solutions,hotwatersolutions.com,"Hot Water Solutions is a manufacturer's representative that focuses on plumbing and water heating solutions for the commercial, industrial, and construction sectors. The company provides consultation, technical support, and products from various manufacturers to a range of clients including wholesalers, contractors, engineers, and developers. Hot Water Solutions serves the plumbing, HVAC, construction, and industrial sectors while aiming to ensure an efficient supply chain. It was founded in 2000 and is based in Houston, Texas.",Wholesale,,,,,United States,,,,,,,40%,Alive / Active,2000,,
RWH Mechanical Sales,rwhco.com,"RWH Mechanical Sales, Inc. is an independent manufacturers' representative in commercial and industrial heating, ventilating, and air conditioning (HVAC) equipment. The company provides HVAC solutions including the sale and service of cooling towers, condensing boilers, water treatment and filtration systems, heat exchangers, and boiler stack and draft controls. RWH Mechanical Sales serves the commercial and industrial sectors with equipment, parts, and service support. It was founded in 1976 and is based in Norfolk, Virginia.",Construction,,,,,United States,,,,,,,0%,Alive / Active,1976,,
Superior Central Boiler,superiorcentralboiler.com,"Superior Central Boiler is a manufacturer's representative company specializing in steam and hot water generation products within the boiler industry. The company provides services including plant operations management, emergency field services, and aftermarket parts supply, focusing on boiler room operations. Superior Central Boiler primarily serves sectors that require steam and hot water generation systems, such as industrial and commercial facilities. It was founded in 1949 and is based in Wall, New Jersey.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1949,,
